trip,area,type,boxes,mass,volume,time,energy,soc,reserve,margin_kwh
P001,S001,A,"S001-MED-01,S001-MED-02,S001-WAT-01",20.0,0.051,1308.72,1.29394,71.246,20.0,2.3061
P002,S001,C,"S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05,S001-WAT-06,S001-FOD-01",78.0,0.163,1489.8,3.0625,61.719,20.0,3.3375
P003,S001,C,"S001-WAT-07,S001-WAT-08,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02",56.0,0.18,1489.8,2.45787,69.277,20.0,3.9421
P004,S002,A,"S002-MED-01,S002-WAT-01",17.0,0.039,2001.91,2.96524,34.106,20.0,0.6348
P005,S002,C,"S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-FOD-01,S002-FOD-02,S002-HYG-01",64.0,0.172,2102.19,6.19341,22.582,20.0,0.2066
P006,S003,A,"S003-MED-01,S003-WAT-01",17.0,0.039,2233.01,3.05812,32.042,20.0,0.5419
P007,S003,C,"S003-WAT-02,S003-WAT-03,S003-WAT-04,S003-FOD-01,S003-FOD-02,S003-HYG-01",64.0,0.172,2396.05,6.29817,21.273,20.0,0.1018
P008,S004,A,"S004-MED-01,S004-WAT-01",17.0,0.039,2177.25,3.14271,30.162,20.0,0.4573
P009,S004,C,"S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",42.0,0.117,2163.12,5.60962,29.88,20.0,0.7904
P010,S005,B,"S005-MED-01,S005-WAT-01",17.0,0.039,1514.54,1.80765,54.809,20.0,1.3924
P011,S005,C,"S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",42.0,0.117,1741.31,3.85132,51.858,20.0,2.5487
P012,S006,B,"S006-MED-01,S006-WAT-01",17.0,0.039,1197.51,1.15994,71.002,20.0,2.0401
P013,S006,C,"S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",42.0,0.117,1414.33,2.41357,69.83,20.0,3.9864
P014,S007,C,"S007-MED-01,S007-WAT-01",17.0,0.039,1662.33,3.11133,61.108,20.0,3.2887
P015,S007,C,"S007-WAT-02,S007-FOD-01,S007-HYG-01",28.0,0.09,1728.33,3.23954,59.506,20.0,3.1605
P016,S008,C,"S008-MED-01,S008-WAT-01",17.0,0.039,1981.81,5.28716,33.911,20.0,1.1128
P017,S008,C,"S008-WAT-02,S008-FOD-01,S008-HYG-01",28.0,0.09,2047.81,5.4813,31.484,20.0,0.9187
P018,S009,A,"S009-MED-01,S009-WAT-01",17.0,0.039,1684.71,2.29928,48.905,20.0,1.3007
P019,S009,B,S009-FOD-01,8.0,0.028,1433.96,1.77779,55.555,20.0,1.4222
P020,S010,A,"S010-MED-01,S010-WAT-01",17.0,0.039,1638.93,2.03167,54.852,20.0,1.5683
P021,S010,B,S010-FOD-01,8.0,0.028,1419.64,1.57824,60.544,20.0,1.6218
P022,S011,A,"S011-MED-01,S011-WAT-01",17.0,0.039,1214.96,1.18731,73.615,20.0,2.4127
P023,S011,B,S011-FOD-01,8.0,0.028,1061.05,0.92167,76.958,20.0,2.2783
P024,S012,A,"S012-MED-01,S012-WAT-01",17.0,0.039,2109.61,3.02393,32.802,20.0,0.5761
P025,S012,B,S012-FOD-01,8.0,0.028,1803.0,2.34146,41.464,20.0,0.8585
P026,S013,B,"S013-MED-01,S013-WAT-01",17.0,0.039,1426.04,1.70482,57.379,20.0,1.4952
P027,S013,B,S013-FOD-01,8.0,0.028,1366.04,1.57525,60.619,20.0,1.6248
P028,S014,B,"S014-MED-01,S014-WAT-01",17.0,0.039,1769.65,1.99688,50.078,20.0,1.2031
P029,S014,B,S014-FOD-01,8.0,0.028,1709.65,1.84192,53.952,20.0,1.3581
P030,S015,C,"S015-MED-01,S015-WAT-01",17.0,0.039,1867.13,4.09931,48.759,20.0,2.3007
P031,S015,B,S015-FOD-01,8.0,0.028,1686.45,2.01907,49.523,20.0,1.1809
