area,type,distance_m,max_payload_kg,type_limit_kg,terrain_peak_m
S001,A,3063.4,25.0,25.0,223.1
S001,B,3063.4,30.0,30.0,223.1
S001,C,3063.4,80.0,80.0,223.1
S002,A,7435.3,25.0,25.0,259.2
S002,B,7435.3,30.0,30.0,259.2
S002,C,7435.3,67.456,80.0,259.2
S003,A,7261.1,25.0,25.0,501.4
S003,B,7261.1,30.0,30.0,501.4
S003,C,7261.1,65.744,80.0,501.4
S004,A,7745.7,25.0,25.0,348.2
S004,B,7745.7,29.487,30.0,348.2
S004,C,7745.7,61.622,80.0,348.2
S005,A,5302.0,25.0,25.0,276.4
S005,B,5302.0,30.0,30.0,276.4
S005,C,5302.0,80.0,80.0,276.4
S006,A,3181.0,25.0,25.0,318.4
S006,B,3181.0,30.0,30.0,318.4
S006,C,3181.0,80.0,80.0,318.4
S007,A,4533.8,25.0,25.0,448.0
S007,B,4533.8,30.0,30.0,448.0
S007,C,4533.8,80.0,80.0,448.0
S008,A,8109.5,25.0,25.0,317.6
S008,B,8109.5,27.761,30.0,317.6
S008,C,8109.5,56.669,80.0,317.6
S009,A,5722.7,25.0,25.0,243.2
S009,B,5722.7,30.0,30.0,243.2
S009,C,5722.7,80.0,80.0,243.2
S010,A,4778.4,25.0,25.0,385.6
S010,B,4778.4,30.0,30.0,385.6
S010,C,4778.4,80.0,80.0,385.6
S011,A,2817.1,25.0,25.0,243.3
S011,B,2817.1,30.0,30.0,243.3
S011,C,2817.1,80.0,80.0,243.3
S012,A,7398.4,25.0,25.0,369.7
S012,B,7398.4,30.0,30.0,369.7
S012,C,7398.4,66.114,80.0,369.7
S013,A,4848.7,25.0,25.0,342.8
S013,B,4848.7,30.0,30.0,342.8
S013,C,4848.7,80.0,80.0,342.8
S014,A,5410.9,25.0,25.0,525.5
S014,B,5410.9,30.0,30.0,525.5
S014,C,5410.9,80.0,80.0,525.5
S015,A,6019.1,25.0,25.0,521.8
S015,B,6019.1,30.0,30.0,521.8
S015,C,6019.1,80.0,80.0,521.8
