box,trip,area,type,first,deadline,expect,delivery,late
S001-FOD-01,P002,S001,应急食品,False,,7200.0,6747.58,False
S001-FOD-02,P003,S001,应急食品,False,,7200.0,7844.51,True
S001-FOD-03,P003,S001,应急食品,False,,7200.0,7844.51,True
S001-HYG-01,P003,S001,生活卫生用品,False,,10800.0,7844.51,False
S001-HYG-02,P003,S001,生活卫生用品,False,,10800.0,7844.51,False
S001-MED-01,P001,S001,医疗物资,True,3600.0,3600.0,1098.72,False
S001-MED-02,P001,S001,医疗物资,False,,3600.0,1098.72,False
S001-WAT-01,P001,S001,饮用水,True,3600.0,3600.0,1098.72,False
S001-WAT-02,P002,S001,饮用水,False,,3600.0,6747.58,True
S001-WAT-03,P002,S001,饮用水,False,,3600.0,6747.58,True
S001-WAT-04,P002,S001,饮用水,False,,3600.0,6747.58,True
S001-WAT-05,P002,S001,饮用水,False,,3600.0,6747.58,True
S001-WAT-06,P002,S001,饮用水,False,,3600.0,6747.58,True
S001-WAT-07,P003,S001,饮用水,False,,3600.0,7844.51,True
S001-WAT-08,P003,S001,饮用水,False,,3600.0,7844.51,True
S002-FOD-01,P005,S002,应急食品,False,,7200.0,3844.0,False
S002-FOD-02,P005,S002,应急食品,False,,7200.0,3844.0,False
S002-HYG-01,P005,S002,生活卫生用品,False,,10800.0,3844.0,False
S002-MED-01,P004,S002,医疗物资,True,3600.0,3600.0,1821.91,False
S002-WAT-01,P004,S002,饮用水,True,3600.0,3600.0,1821.91,False
S002-WAT-02,P005,S002,饮用水,False,,3600.0,3844.0,True
S002-WAT-03,P005,S002,饮用水,False,,3600.0,3844.0,True
S002-WAT-04,P005,S002,饮用水,False,,3600.0,3844.0,True
S003-FOD-01,P007,S003,应急食品,False,,10800.0,11431.44,True
S003-FOD-02,P007,S003,应急食品,False,,10800.0,11431.44,True
S003-HYG-01,P007,S003,生活卫生用品,False,,14400.0,11431.44,False
S003-MED-01,P006,S003,医疗物资,True,7200.0,7200.0,3811.93,False
S003-WAT-01,P006,S003,饮用水,True,7200.0,7200.0,3811.93,False
S003-WAT-02,P007,S003,饮用水,False,,7200.0,11431.44,True
S003-WAT-03,P007,S003,饮用水,False,,7200.0,11431.44,True
S003-WAT-04,P007,S003,饮用水,False,,7200.0,11431.44,True
S004-FOD-01,P009,S004,应急食品,False,,10800.0,10199.63,False
S004-HYG-01,P009,S004,生活卫生用品,False,,14400.0,10199.63,False
S004-MED-01,P008,S004,医疗物资,True,7200.0,7200.0,3425.97,False
S004-WAT-01,P008,S004,饮用水,True,7200.0,7200.0,3425.97,False
S004-WAT-02,P009,S004,饮用水,False,,7200.0,10199.63,True
S004-WAT-03,P009,S004,饮用水,False,,7200.0,10199.63,True
S005-FOD-01,P011,S005,应急食品,False,,14400.0,12060.95,False
S005-HYG-01,P011,S005,生活卫生用品,False,,18000.0,12060.95,False
S005-MED-01,P010,S005,医疗物资,True,10800.0,10800.0,3224.19,False
S005-WAT-01,P010,S005,饮用水,True,10800.0,10800.0,3224.19,False
S005-WAT-02,P011,S005,饮用水,False,,10800.0,12060.95,True
S005-WAT-03,P011,S005,饮用水,False,,10800.0,12060.95,True
S006-FOD-01,P013,S006,应急食品,False,,7200.0,5450.32,False
S006-HYG-01,P013,S006,生活卫生用品,False,,10800.0,5450.32,False
S006-MED-01,P012,S006,医疗物资,True,3600.0,3600.0,2563.54,False
S006-WAT-01,P012,S006,饮用水,True,3600.0,3600.0,2563.54,False
S006-WAT-02,P013,S006,饮用水,False,,3600.0,5450.32,True
S006-WAT-03,P013,S006,饮用水,False,,3600.0,5450.32,True
S007-FOD-01,P015,S007,应急食品,False,,7200.0,5245.78,False
S007-HYG-01,P015,S007,生活卫生用品,False,,10800.0,5245.78,False
S007-MED-01,P014,S007,医疗物资,True,3600.0,3600.0,1446.33,False
S007-WAT-01,P014,S007,饮用水,True,3600.0,3600.0,1446.33,False
S007-WAT-02,P015,S007,饮用水,False,,3600.0,5245.78,True
S008-FOD-01,P017,S008,应急食品,False,,10800.0,9023.39,False
S008-HYG-01,P017,S008,生活卫生用品,False,,14400.0,9023.39,False
S008-MED-01,P016,S008,医疗物资,True,7200.0,7200.0,1765.81,False
S008-WAT-01,P016,S008,饮用水,True,7200.0,7200.0,1765.81,False
S008-WAT-02,P017,S008,饮用水,False,,7200.0,9023.39,True
S009-FOD-01,P019,S009,应急食品,False,,14400.0,8177.45,False
S009-MED-01,P018,S009,医疗物资,True,10800.0,10800.0,3687.24,False
S009-WAT-01,P018,S009,饮用水,True,10800.0,10800.0,3687.24,False
S010-FOD-01,P021,S010,应急食品,False,,7200.0,6623.49,False
S010-MED-01,P020,S010,医疗物资,True,3600.0,3600.0,1458.93,False
S010-WAT-01,P020,S010,饮用水,True,3600.0,3600.0,1458.93,False
S011-FOD-01,P023,S011,应急食品,False,,14400.0,9065.34,False
S011-MED-01,P022,S011,医疗物资,True,10800.0,10800.0,3760.81,False
S011-WAT-01,P022,S011,饮用水,True,10800.0,10800.0,3760.81,False
S012-FOD-01,P025,S012,应急食品,False,,7200.0,4516.54,False
S012-MED-01,P024,S012,医疗物资,True,3600.0,7200.0,1929.61,False
S012-WAT-01,P024,S012,饮用水,True,3600.0,3600.0,1929.61,False
S013-FOD-01,P027,S013,应急食品,False,,7200.0,6002.57,False
S013-MED-01,P026,S013,医疗物资,True,3600.0,3600.0,1246.04,False
S013-WAT-01,P026,S013,饮用水,True,3600.0,3600.0,1246.04,False
S014-FOD-01,P029,S014,应急食品,False,,7200.0,5083.84,False
S014-MED-01,P028,S014,医疗物资,True,3600.0,7200.0,1589.65,False
S014-WAT-01,P028,S014,饮用水,True,3600.0,3600.0,1589.65,False
S015-FOD-01,P031,S015,应急食品,False,,14400.0,7884.29,False
S015-MED-01,P030,S015,医疗物资,True,7200.0,7200.0,3433.46,False
S015-WAT-01,P030,S015,饮用水,True,10800.0,10800.0,3433.46,False
