resource_type,resource,trip,occupy_start,occupy_end,ready
aircraft,U01,P004,0.0,2121.91,2121.91
aircraft,U02,P024,0.0,2229.61,2229.61
aircraft,U03,P020,0.0,1758.93,1758.93
aircraft,U04,P001,0.0,1428.72,1428.72
aircraft,U05,P028,0.0,1889.65,1889.65
aircraft,U06,P026,0.0,1546.04,1546.04
aircraft,U07,P014,0.0,1782.33,1782.33
aircraft,U08,P016,0.0,2101.81,2101.81
battery,A-B01,P004,0.0,2001.91,3358.53
battery,A-B02,P024,0.0,2109.61,3483.19
battery,A-B03,P020,0.0,1638.93,2725.85
battery,A-B04,P001,0.0,1308.72,2182.52
battery,B-B01,P028,0.0,1769.65,3301.63
battery,B-B02,P026,0.0,1426.04,2831.46
battery,C-B01,P014,0.0,1662.33,3338.31
battery,C-B02,P016,0.0,1981.81,4247.08
aircraft,U04,P008,1428.72,3725.97,3725.97
battery,A-B05,P008,1428.72,3605.97,5013.86
aircraft,U06,P012,1546.04,2863.54,2863.54
battery,B-B03,P012,1546.04,2743.54,3912.85
aircraft,U03,P006,1758.93,4111.93,4111.93
battery,A-B06,P006,1758.93,3991.93,5375.39
aircraft,U07,P030,1782.33,3769.46,3769.46
battery,C-B03,P030,1782.33,3649.46,5593.02
aircraft,U05,P010,1889.65,3524.19,3524.19
battery,B-B04,P010,1889.65,3404.19,4854.17
aircraft,U08,P005,2101.81,4324.0,4324.0
battery,C-B04,P005,2101.81,4204.0,6714.71
aircraft,U01,P018,2182.52,3987.24,3987.24
battery,A-B04,P018,2182.52,3867.24,5031.47
aircraft,U02,P022,2725.85,4060.81,4060.81
battery,A-B03,P022,2725.85,3940.81,4783.81
aircraft,U06,P025,2863.54,4786.54,4786.54
battery,B-B02,P025,2863.54,4666.54,6347.84
aircraft,U05,P029,3524.19,5353.84,5353.84
battery,B-B01,P029,3524.19,5233.84,6698.67
aircraft,U07,P015,3769.46,5617.78,5617.78
battery,C-B01,P015,3769.46,5497.78,7208.49
aircraft,U08,P013,4324.0,5858.32,5858.32
battery,C-B02,P013,4324.0,5738.32,7225.33
aircraft,U06,P027,4786.54,6272.57,6272.57
battery,B-B03,P027,4786.54,6152.57,7501.85
aircraft,U05,P021,5353.84,6893.49,6893.49
battery,B-B04,P021,5353.84,6773.49,8124.06
aircraft,U07,P002,5617.78,7227.58,7227.58
battery,C-B03,P002,5617.78,7107.58,8770.34
aircraft,U06,P031,6347.84,8154.29,8154.29
battery,B-B02,P031,6347.84,8034.29,9575.89
aircraft,U08,P003,6714.71,8324.51,8324.51
battery,C-B04,P003,6714.71,8204.51,9703.51
aircraft,U05,P019,6893.49,8447.45,8447.45
battery,B-B01,P019,6893.49,8327.45,9764.49
aircraft,U07,P017,7227.58,9395.39,9395.39
battery,C-B01,P017,7227.58,9275.39,11593.24
aircraft,U06,P023,8154.29,9335.34,9335.34
battery,B-B03,P023,8154.29,9215.34,10281.4
aircraft,U08,P009,8324.51,10607.63,10607.63
battery,C-B02,P009,8324.51,10487.63,12840.24
aircraft,U07,P007,9395.39,11911.44,11911.44
battery,C-B03,P007,9395.39,11791.44,14330.53
aircraft,U08,P011,10607.63,12468.95,12468.95
battery,C-B04,P011,10607.63,12348.95,14225.35
