trip,drone,type,battery,start,route,return,energy,soc,boxes,mass,volume,battery_ready
P001,U04,A,A-B04,0.0,O01>S001>O01,1308.72,1.29394,71.246,3,20.0,0.051,2182.52
P002,U07,C,C-B03,5617.78,O01>S001>O01,7107.58,3.0625,61.719,6,78.0,0.163,8770.34
P003,U08,C,C-B04,6714.71,O01>S001>O01,8204.51,2.45787,69.277,6,56.0,0.18,9703.51
P004,U01,A,A-B01,0.0,O01>S002>O01,2001.91,2.96524,34.106,2,17.0,0.039,3358.53
P005,U08,C,C-B04,2101.81,O01>S002>O01,4204.0,6.19341,22.582,6,64.0,0.172,6714.71
P006,U03,A,A-B06,1758.93,O01>S003>O01,3991.93,3.05812,32.042,2,17.0,0.039,5375.39
P007,U07,C,C-B03,9395.39,O01>S003>O01,11791.44,6.29817,21.273,6,64.0,0.172,14330.53
P008,U04,A,A-B05,1428.72,O01>S004>O01,3605.97,3.14271,30.162,2,17.0,0.039,5013.86
P009,U08,C,C-B02,8324.51,O01>S004>O01,10487.63,5.60962,29.88,4,42.0,0.117,12840.24
P010,U05,B,B-B04,1889.65,O01>S005>O01,3404.19,1.80765,54.809,2,17.0,0.039,4854.17
P011,U08,C,C-B04,10607.63,O01>S005>O01,12348.95,3.85132,51.858,4,42.0,0.117,14225.35
P012,U06,B,B-B03,1546.04,O01>S006>O01,2743.54,1.15994,71.002,2,17.0,0.039,3912.85
P013,U08,C,C-B02,4324.0,O01>S006>O01,5738.32,2.41357,69.83,4,42.0,0.117,7225.33
P014,U07,C,C-B01,0.0,O01>S007>O01,1662.33,3.11133,61.108,2,17.0,0.039,3338.31
P015,U07,C,C-B01,3769.46,O01>S007>O01,5497.78,3.23954,59.506,3,28.0,0.09,7208.49
P016,U08,C,C-B02,0.0,O01>S008>O01,1981.81,5.28716,33.911,2,17.0,0.039,4247.08
P017,U07,C,C-B01,7227.58,O01>S008>O01,9275.39,5.4813,31.484,3,28.0,0.09,11593.24
P018,U01,A,A-B04,2182.52,O01>S009>O01,3867.24,2.29928,48.905,2,17.0,0.039,5031.47
P019,U05,B,B-B01,6893.49,O01>S009>O01,8327.45,1.77779,55.555,1,8.0,0.028,9764.49
P020,U03,A,A-B03,0.0,O01>S010>O01,1638.93,2.03167,54.852,2,17.0,0.039,2725.85
P021,U05,B,B-B04,5353.84,O01>S010>O01,6773.49,1.57824,60.544,1,8.0,0.028,8124.06
P022,U02,A,A-B03,2725.85,O01>S011>O01,3940.81,1.18731,73.615,2,17.0,0.039,4783.81
P023,U06,B,B-B03,8154.29,O01>S011>O01,9215.34,0.92167,76.958,1,8.0,0.028,10281.4
P024,U02,A,A-B02,0.0,O01>S012>O01,2109.61,3.02393,32.802,2,17.0,0.039,3483.19
P025,U06,B,B-B02,2863.54,O01>S012>O01,4666.54,2.34146,41.464,1,8.0,0.028,6347.84
P026,U06,B,B-B02,0.0,O01>S013>O01,1426.04,1.70482,57.379,2,17.0,0.039,2831.46
P027,U06,B,B-B03,4786.54,O01>S013>O01,6152.57,1.57525,60.619,1,8.0,0.028,7501.85
P028,U05,B,B-B01,0.0,O01>S014>O01,1769.65,1.99688,50.078,2,17.0,0.039,3301.63
P029,U05,B,B-B01,3524.19,O01>S014>O01,5233.84,1.84192,53.952,1,8.0,0.028,6698.67
P030,U07,C,C-B03,1782.33,O01>S015>O01,3649.46,4.09931,48.759,2,17.0,0.039,5593.02
P031,U06,B,B-B02,6347.84,O01>S015>O01,8034.29,2.01907,49.523,1,8.0,0.028,9575.89
