rank,lon,lat,alt,agl,uncovered_samples,covered_trips,worst_margin_db
1,109.2379876,23.02733225,460.882568359375,300.0,26,6,-11.213610133258271
2,109.24817619999999,23.025662,434.90008544921875,200,38,6,-12.40237263459099
3,109.24817619999999,23.025662,534.9000854492188,300.0,38,6,-12.40237263459099
4,109.2308517,23.0085095,428.7255401611328,300.0,72,4,-12.224065723594464
5,109.2203356,23.0319231,478.04286193847656,300.0,74,0,-11.097622254290059
6,109.2379876,23.02733225,360.882568359375,200,82,0,-11.213610133258271
7,109.2432319,23.0335927,452.5370788574219,300.0,82,0,-11.713659413142551
8,109.21404195,23.031923900000002,558.5806884765625,300.0,82,0,-11.788974104305709
9,109.2308517,23.0085095,328.7255401611328,200,84,4,-12.224065723594464
10,109.2203356,23.0319231,378.04286193847656,200,88,0,-11.097622254290059
11,109.2432319,23.0335927,352.5370788574219,200,88,0,-11.713659413142551
12,109.25173565,23.043193549999998,481.6068878173828,300.0,88,0,-12.61889833277354
13,109.2508919,23.0519599,487.6814270019531,300.0,88,0,-12.626260523214711
14,109.21404195,23.031923900000002,458.5806884765625,200,90,0,-11.788974104305709
15,109.2508919,23.0519599,387.6814270019531,200,92,0,-12.626260523214711
16,109.24817619999999,23.025662,334.90008544921875,100,94,0,-12.40237263459099
17,109.25173565,23.043193549999998,381.6068878173828,200,96,0,-12.61889833277354
18,109.2379876,23.02733225,260.882568359375,100,98,0,-11.213610133258271
19,109.2432319,23.0335927,252.53707885742188,100,98,0,-11.713659413142551
20,109.2283003,23.0561338,468.7893524169922,300.0,104,0,-12.111692870008767
