trip,stage,start,end,mode,relay_trip,continuous_verified
P001,完整往返轨迹,0.0,1308.72,直连,,True
P002,完整往返轨迹,5617.78,7107.58,直连,,True
P003,完整往返轨迹,6714.71,8204.51,直连,,True
P004,完整往返轨迹,0.0,2001.91,通信中断,,False
P005,完整往返轨迹,2101.81,4204.0,通信中断,,False
P006,完整往返轨迹,1758.93,3991.93,通信中断,,False
P007,完整往返轨迹,9395.39,11791.44,通信中断,,False
P008,完整往返轨迹,1428.72,3605.97,通信中断,,False
P009,完整往返轨迹,8324.51,10487.63,通信中断,,False
P010,完整往返轨迹,1889.65,3404.19,中继候选可覆盖,R001,True
P011,完整往返轨迹,10607.63,12348.95,中继候选可覆盖,R001,True
P012,完整往返轨迹,1546.04,2743.54,直连,,True
P013,完整往返轨迹,4324.0,5738.32,直连,,True
P014,完整往返轨迹,0.0,1662.33,通信中断,,False
P015,完整往返轨迹,3769.46,5497.78,通信中断,,False
P016,完整往返轨迹,0.0,1981.81,通信中断,,False
P017,完整往返轨迹,7227.58,9275.39,通信中断,,False
P018,完整往返轨迹,2182.52,3867.24,中继候选可覆盖,R001,True
P019,完整往返轨迹,6893.49,8327.45,中继候选可覆盖,R001,True
P020,完整往返轨迹,0.0,1638.93,通信中断,,False
P021,完整往返轨迹,5353.84,6773.49,通信中断,,False
P022,完整往返轨迹,2725.85,3940.81,直连,,True
P023,完整往返轨迹,8154.29,9215.34,直连,,True
P024,完整往返轨迹,0.0,2109.61,通信中断,,False
P025,完整往返轨迹,2863.54,4666.54,通信中断,,False
P026,完整往返轨迹,0.0,1426.04,中继候选可覆盖,R001,True
P027,完整往返轨迹,4786.54,6152.57,中继候选可覆盖,R001,True
P028,完整往返轨迹,0.0,1769.65,通信中断,,False
P029,完整往返轨迹,3524.19,5233.84,通信中断,,False
P030,完整往返轨迹,1782.33,3649.46,通信中断,,False
P031,完整往返轨迹,6347.84,8034.29,通信中断,,False
