trip,area,samples,direct_unavailable_samples,direct_worst_margin_db,cruise_alt_m,direct_continuous,selected_mode,minimum_path_margin_db
P001,S001,15,0,2.232,273.06,True,直连,2.232
P002,S001,15,0,2.232,273.06,True,直连,2.232
P003,S001,15,0,2.232,273.06,True,直连,2.232
P004,S002,31,15,-5.47,309.15,False,通信中断,-5.47
P005,S002,31,15,-5.47,309.15,False,通信中断,-5.47
P006,S003,31,13,-5.264,551.43,False,通信中断,-5.264
P007,S003,31,13,-5.264,551.43,False,通信中断,-5.264
P008,S004,33,9,-5.825,398.24,False,通信中断,-5.825
P009,S004,33,9,-5.825,398.24,False,通信中断,-5.825
P010,S005,23,3,-2.533,326.41,False,中继候选可覆盖,5.448
P011,S005,23,3,-2.533,326.41,False,中继候选可覆盖,5.448
P012,S006,15,0,1.904,368.42,True,直连,1.904
P013,S006,15,0,1.904,368.42,True,直连,1.904
P014,S007,21,3,-1.174,498.04,False,通信中断,-1.174
P015,S007,21,3,-1.174,498.04,False,通信中断,-1.174
P016,S008,35,15,-6.224,367.56,False,通信中断,-6.224
P017,S008,35,15,-6.224,367.56,False,通信中断,-6.224
P018,S009,25,7,-3.196,293.23,False,中继候选可覆盖,5.02
P019,S009,25,7,-3.196,293.23,False,中继候选可覆盖,5.02
P020,S010,21,3,-1.63,435.64,False,通信中断,-1.63
P021,S010,21,3,-1.63,435.64,False,通信中断,-1.63
P022,S011,13,0,2.96,293.35,True,直连,2.96
P023,S011,13,0,2.96,293.35,True,直连,2.96
P024,S012,31,13,-5.427,419.67,False,通信中断,-5.427
P025,S012,31,13,-5.427,419.67,False,通信中断,-5.427
P026,S013,21,3,-1.757,392.75,False,中继候选可覆盖,5.217
P027,S013,21,3,-1.757,392.75,False,中继候选可覆盖,5.217
P028,S014,23,5,-2.71,575.54,False,通信中断,-2.71
P029,S014,23,5,-2.71,575.54,False,通信中断,-2.71
P030,S015,27,9,-3.635,571.8,False,通信中断,-3.635
P031,S015,27,9,-3.635,571.8,False,通信中断,-3.635
